Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
Angular gyrus,(Dorsomedial AND hypothal*),0,641,0,641,0
Angular gyrus,Subgranular,1,640,631,1271,0.000786782
(Dorsomedial AND hypothal*),Stria terminalis,0,0,2735,2735,0
Basal forbrain,"(""Mammillary body"" OR ""Mammillary bodies)",25,1,0,1,25
"(""Centromedian"" AND (nuclei OR nucleus))",(Dorsomedial AND hypothal*),0,143,0,143,0
Cerebellum,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",11,56872,132,57004,0.000192969
Cingulate,"(""Gustatory cortex"" OR ""gustatory area"")",5,11099,64,11163,0.000447908
Dentate gyrus,"(""Red nucleus"")",70,11887,4428,16315,0.00429053
Hippocamp*,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,184,6,190,0
Indusium griseum,(Intralaminar AND (nuclei OR nucleus)),0,77,776,853,0
Indusium griseum,"(""Inferior olive"" OR ""Inferior olivary"")",0,77,834,911,0
Insula*,"(""Medial dorsal"" AND nucl*)",0,3110,1,3111,0
Interstitial nucleus,Visual extrastriate,1,2038,1533,3571,0.000280034
Lingual gyrus,Supplementary motor,30,403,2744,3147,0.009532888
(Intralaminar AND (nuclei OR nucleus)),Thalamus,507,269,32033,32302,0.015695623
Medial geniculate,Orbitofrontal,5,1857,2991,4848,0.001031353
Middle frontal,Primary sensory,118,20354,11488,31842,0.003705797
Middle temporal,Premotor,246,37177,4483,41660,0.005904945
Nucleus accumbens,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,12807,6,12813,0
"(Medulla OR ""medulla oblongata"")",Pontine nuclei,1307,21258,6401,27659,0.047254058
Nucleus accumbens,Piriform cortex,177,12630,1893,14523,0.012187565
"(""Locus coeruleus"" OR ""locus ceruleus"")",Pontine nuclei,541,2767,7167,9934,0.054459432
Paracentral lobule,Thalamus,6,61,32534,32595,0.000184077
Parahippocamp*,Subgranular,0,0,632,632,0
Paracentral lobule,Perirhinal,0,67,1200,1267,0
Piriform cortex,Posterior cingulate,30,2040,2895,4935,0.006079027
Nucleus basalis,Pineal,2,2328,14401,16729,0.000119553
(Periventricular AND (nuclei OR nucleus)),Primary motor,13,1061,14726,15787,0.000823462
Pons,Zona incerta,126,17427,2794,20221,0.006231146
Pons,Visual extrastriate,11,17542,1523,19065,0.000576974
(Periventricular AND (nuclei OR nucleus)),Subthalam*,0,1074,0,1074,0
(Septal AND (nuclei OR nucleus)),Subgranular,2,2411,630,3041,0.000657678
Pontine nuclei,Subgranular,0,7708,632,8340,0
Prefrontal,Ventromedial prefrontal,764,23337,0,23337,0.032737713
Stria terminalis,Visual extrastriate,0,2735,1534,4269,0
Postcentral gyrus,(Superior AND collicul*),190,434,172137,172571,0.001100996
Putamen,Stria terminalis,172,10577,2563,13140,0.013089802
(Raphe AND (nuclei OR nucleus)),Suprachiasmatic,202,4183,5824,10007,0.02018587
"(""Ventral posterior"" AND (nuclei OR nucleus))",Ventromedial prefrontal,21,1457,743,2200,0.009545455
"(""Centromedian"" AND (nuclei OR nucleus))",Dentate gyrus,2,141,11955,12096,0.000165344
Putamen,"(""Ventral posterior"" AND (nuclei OR nucleus))",85,10664,1393,12057,0.007049847
Superior temporal,Visual extrastriate,148,8813,1386,10199,0.014511227
Cingulum,Substantia nigra,7,678,19382,20060,0.000348953
(Cochlear AND (nuclei OR nucleus)),Globus pallidus,22,4405,8084,12489,0.00176155
Entorhinal,Superior temporal,108,5439,8853,14292,0.007556675
Entorhinal,"(Medulla OR ""medulla oblongata"")",27,5520,22538,28058,0.000962292
Calcarine fissure,Nucleus accumbens,0,120,12807,12927,0
Calcarine fissure,"(""Ventral anterior"" AND (nuclei OR nucleus))",1,119,1457,1576,0.000634518
Calcarine fissure,Ventromedial prefrontal,0,120,764,884,0
Caudate,Precuneus,81,18720,1139,19859,0.004078755
Cerebellum,Superior temporal,527,56356,8434,64790,0.008133971
Cingulate,Striatum,870,10234,43878,54112,0.016077765
Cerebellum,(Intralaminar AND (nuclei OR nucleus)),35,56848,741,57589,0.000607755
(Cochlear AND (nuclei OR nucleus)),Lateral geniculate,97,4330,5738,10068,0.009634485
Globus pallidus,Subiculum,61,8045,1819,9864,0.006184104
"(""Heschl's gyrus"" OR ""Transverse temporal"")","(""Ventral posterolateral"" AND (nuclei OR nucleus))",0,6,143,149,0
"(""Gustatory cortex"" OR ""gustatory area"")",Posterior parietal,1,68,5713,5781,0.00017298
Hippocamp*,Prefrontal,0,184,24101,24285,0
Hypothalam*,Visual cortex,0,3,39253,39256,0
Indusium griseum,Superior frontal,0,77,4955,5032,0
Inferior parietal lobule,Nucleus accumbens,3,913,12804,13717,0.000218707
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Medial frontal,0,6,5878,5884,0
Insula*,"(""Ventral posterior"" AND (nuclei OR nucleus))",17,3093,1461,4554,0.003732982
Lingual gyrus,Postcentral gyrus,40,393,584,977,0.040941658
Lingual gyrus,"(""Red nucleus"")",1,432,4497,4929,0.000202881
Middle frontal,Piriform cortex,7,20465,2063,22528,0.000310724
Lateral geniculate,Visual extrastriate,93,5742,1441,7183,0.012947237
Olfactory bulb,"(""Red nucleus"")",56,11213,4442,15655,0.003577132
Orbitofrontal,Superior temporal,227,2769,8734,11503,0.019733982
Olfactory bulb,Superior temporal,19,11250,8942,20192,0.000940967
"(""Mammillary body"" OR ""Mammillary bodies)",Middle temporal,0,0,37412,37412,0
"(""Locus coeruleus"" OR ""locus ceruleus"")",Parahippocamp*,0,3308,0,3308,0
"(""Nucleus gracilis"" OR ""gracile nucleus"")",Thalamic reticular,0,6,3711,3717,0
Piriform cortex,Ventral tegmentum,20,2050,4806,6856,0.002917153
Operculum,Pontine nuclei,6,920,7702,8622,0.000695894
Posterior parietal,(Superior AND collicul*),1213,4501,171114,175615,0.006907155
Primary motor,Superior frontal,167,14572,4788,19360,0.008626033
Thalamic reticular,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",20,3691,123,3814,0.005243838
(Superior AND collicul*),"(""Ventral posterolateral"" AND (nuclei OR nucleus))",18,172309,125,172434,0.000104388
Calcarine fissure,Pulvinar,3,117,1130,1247,0.002405774
Ambiguus,Superior frontal,4,1212,4951,6163,0.000649035
Ambiguus,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",0,1216,143,1359,0
Ambiguus,Striatum,8,1208,44740,45948,0.00017411
Cingulum,periaqueductal,4,681,4572,5253,0.00076147
Amygdala,Piriform cortex,652,22705,1418,24123,0.027028147
Claustrum,Supplementary motor,15,840,2759,3599,0.004167824
Cingulum,Striatum,18,667,44730,45397,0.000396502
Fusiform,"(""Heschl's gyrus"" OR ""Transverse temporal"")",0,5455,6,5461,0
Basal forbrain,Striatum,5087,1,44748,44749,0.113678518
Basal forbrain,Pineal,411,1,14403,14404,0.028533741
Basal forbrain,Premotor,303,1,4729,4730,0.064059197
Broca's area,"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",0,52423,8,52431,0
Broca's area,"(""Ventral anterior"" AND (nuclei OR nucleus))",140,52283,1318,53601,0.002611892
Cingulate,Precuneus,662,10442,558,11000,0.060181818
Diagonal band of Broca,Visual extrastriate,1,907,1533,2440,0.000409836
Fusiform,Subthalam*,0,5455,0,5455,0
Globus pallidus,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,8106,6,8112,0
Globus pallidus,Primary sensory,44,8062,11562,19624,0.002242152
"(""Gustatory cortex"" OR ""gustatory area"")",Inferior frontal,1,68,5121,5189,0.000192715
Diagonal band of Broca,(Dorsomedial AND hypothal*),0,908,0,908,0
Indusium griseum,Pons,3,74,17550,17624,0.000170222
(Inferior AND collicul*),Ventral tegmentum,177,81156,4649,85805,0.002062817
Inferior temporal,Middle frontal,1248,5367,19224,24591,0.050750274
"(""Inferior olive"" OR ""Inferior olivary"")",Middle temporal,4,830,37419,38249,0.000104578
Inferior frontal,Thalamic reticular,23,5099,3688,8787,0.002617503
Lateral geniculate,Substantia nigra,156,5679,19233,24912,0.006262042
Middle frontal,Postcentral gyrus,141,20331,483,20814,0.006774287
"(""Locus coeruleus"" OR ""locus ceruleus"")",Ventral tegmentum,135,3173,4691,7864,0.017166836
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",Ventral tegmentum,1,7,4825,4832,0.000206954
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",Visual cortex,0,8,39253,39261,0
Medial geniculate,Visual extrastriate,16,1846,1518,3364,0.004756243
Olfactory bulb,"(""Straight gyrus"" OR ""gyrus rectus"")",0,11269,2,11271,0
Parahippocamp*,Postcentral gyrus,0,0,624,624,0
Olfactory bulb,Ventral tegmentum,93,11176,4733,15909,0.005845748
Parahippocamp*,(Raphe AND (nuclei OR nucleus)),0,0,4385,4385,0
"(Medulla OR ""medulla oblongata"")",Supplementary motor,11,22554,2763,25317,0.000434491
Pons,Pulvinar,33,17520,1100,18620,0.001772288
Posterior parahippocampal gyrus,Superior temporal,111,378,8850,9228,0.012028609
Pontine nuclei,(Raphe AND (nuclei OR nucleus)),911,6797,3474,10271,0.088696329
Precuneus,Thalamus,167,1053,32373,33426,0.004996111
Pulvinar,(Superior AND collicul*),317,816,172010,172826,0.001834215
Primary auditory,Visual extrastriate,17,5369,1517,6886,0.002468777
Pulvinar,"(""Ventral posterior"" AND (nuclei OR nucleus))",100,1033,1378,2411,0.041476566
Stria terminalis,(Superior AND collicul*),126,2609,172201,174810,0.000720783
Ambiguus,Middle temporal,1,1215,37422,38637,2.59E-05
Amygdala,Primary auditory,66,23291,5320,28611,0.002306805
Anterior cingulate,Thalamus,1140,5633,31400,37033,0.030783355
Claustrum,Middle temporal,45,810,37378,38188,0.001178381
Cingulum,"(""Medial dorsal"" AND nucl*)",0,685,1,686,0
Claustrum,Inferior frontal,36,819,5086,5905,0.006096528
Dorsolateral prefrontal,Olfactory bulb,2,3610,11267,14877,0.000134436
Dorsolateral prefrontal,Primary sensory,26,3586,11580,15166,0.001714361
Basal forbrain,"(""Medial dorsal"" AND nucl*)",1,1,1,2,0.5
Basal forbrain,"(""Posterior nucleus"" AND hypothalamus)",255,1,2740,2741,0.09303174
Calcarine fissure,(Intralaminar AND (nuclei OR nucleus)),1,119,775,894,0.001118568
Basal forbrain,(Intralaminar AND (nuclei OR nucleus)),140,1,776,777,0.18018018
Broca's area,Supplementary motor,1529,50894,1245,52139,0.029325457
Fusiform,Perirhinal,20,5435,1180,6615,0.003023432
Fusiform,Pulvinar,26,5429,1107,6536,0.003977968
Hypothalam*,Indusium griseum,0,3,77,80,0
Indusium griseum,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,77,6,83,0
Hippocamp*,"(Medulla OR ""medulla oblongata"")",5,179,22560,22739,0.000219887
Hypothalam*,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",0,3,143,146,0
Diagonal band of Broca,Thalamic reticular,33,875,3678,4553,0.007247968
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Infralimbic,0,6,496,502,0
Inferior frontal,Nucleus basalis,14,5108,2316,7424,0.001885776
Lingual gyrus,Precuneus,70,363,1150,1513,0.046265697
"(""Medial dorsal"" AND nucl*)",Suprachiasmatic,0,1,6026,6027,0
(Inferior AND collicul*),Visual cortex,2283,79050,36970,116020,0.019677642
"(""Medial dorsal"" AND nucl*)",Precuneus,0,1,1220,1221,0
Inferior temporal,Supplementary motor,155,6460,2619,9079,0.017072365
Infralimbic,Piriform cortex,26,470,2044,2514,0.010342084
Orbitofrontal,Thalamus,327,2669,32213,34882,0.009374462
Paracentral lobule,Visual extrastriate,0,67,1534,1601,0
Parahippocamp*,"(""Straight gyrus"" OR ""gyrus rectus"")",0,0,2,2,0
"(Medulla OR ""medulla oblongata"")",Primary auditory,105,22460,5281,27741,0.003785011
periaqueductal,Substantia nigra,344,4232,19045,23277,0.014778537
(Periventricular AND (nuclei OR nucleus)),(Raphe AND (nuclei OR nucleus)),175,899,4210,5109,0.034253279
Pons,(Superior AND collicul*),1115,16438,171212,187650,0.005941913
Primary sensory,Visual cortex,1075,10531,38178,48709,0.022069843
Posterior parahippocampal gyrus,Wernicke's area,311,178,40590,40768,0.007628532
Postcentral gyrus,Posterior cingulate,40,584,2885,3469,0.0115307
Pulvinar,Temporoparietal,4,1129,1456,2585,0.001547389
Temporoparietal,"(""Ventral anterior"" AND (nuclei OR nucleus))",0,1460,1458,2918,0
Stria terminalis,Subthalam*,0,2735,0,2735,0
Substantia nigra,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",15,19374,128,19502,0.000769152
(Raphe AND (nuclei OR nucleus)),Visual cortex,69,4316,39184,43500,0.001586207
"(""Ventral posteromedial"" AND (nuclei OR nucleus))",Zona incerta,14,129,2906,3035,0.00461285
Ambiguus,Angular gyrus,0,1216,641,1857,0
Ambiguus,Calcarine fissure,0,1216,120,1336,0
Amygdala,Calcarine fissure,1,23356,119,23475,4.26E-05
Amygdala,Caudate,1529,21828,17272,39100,0.039104859
Anterior cingulate,"(""Heschl's gyrus"" OR ""Transverse temporal"")",0,6773,6,6779,0
Anterior cingulate,Cingulum,69,6704,616,7320,0.00942623
Claustrum,Perirhinal,33,822,1167,1989,0.016591252
Claustrum,(Dorsomedial AND hypothal*),0,855,0,855,0
(Cochlear AND (nuclei OR nucleus)),Entorhinal,11,4416,5536,9952,0.001105305
Entorhinal,(Dorsomedial AND hypothal*),0,5547,0,5547,0
Basal forbrain,"(""Locus coeruleus"" OR ""locus ceruleus"")",186,1,3308,3309,0.056210335
Calcarine fissure,Posterior cingulate,4,116,2921,3037,0.001317089
"(""Gustatory cortex"" OR ""gustatory area"")",Hippocamp*,0,69,184,253,0
Dentate gyrus,Inferior frontal,40,11917,5082,16999,0.00235308
"(""Inferior olive"" OR ""Inferior olivary"")",Thalamus,70,764,32470,33234,0.002106277
Inferior parietal lobule,"(""Mammillary body"" OR ""Mammillary bodies)",0,916,0,916,0
Insula*,(Periventricular AND (nuclei OR nucleus)),3,3107,1071,4178,0.000718047
Inferior frontal,Orbitofrontal,223,4899,2773,7672,0.029066736
"(""Inferior olive"" OR ""Inferior olivary"")",Piriform cortex,5,829,2065,2894,0.001727713
Interstitial nucleus,Ventral tegmentum,46,1993,4780,6773,0.006791673
Lingual gyrus,Piriform cortex,0,433,2070,2503,0
"(""Medial dorsal"" AND nucl*)",Temporoparietal,0,1,1460,1461,0
Inferior frontal,Visual cortex,946,4176,38307,42483,0.022267731
(Intralaminar AND (nuclei OR nucleus)),Posterior cingulate,28,748,2897,3645,0.007681756
Lingual gyrus,(Superior AND collicul*),153,280,172174,172454,0.000887193
Infralimbic,"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",0,496,8,504,0
Lateral geniculate,"(""Ventral anterior"" AND (nuclei OR nucleus))",162,5673,1296,6969,0.023245803
Orbitofrontal,Ventromedial prefrontal,95,2901,669,3570,0.026610644
Olfactory bulb,Subgranular,38,11231,594,11825,0.003213531
Olfactory bulb,Temporoparietal,1,11268,1459,12727,7.86E-05
Medial geniculate,"(""Ventral anterior"" AND (nuclei OR nucleus))",144,1718,1314,3032,0.047493404
"(""Mammillary body"" OR ""Mammillary bodies)",Superior frontal,0,0,4950,4950,0
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",(Periventricular AND (nuclei OR nucleus)),0,8,1074,1082,0
Pineal,Subiculum,11,14392,1869,16261,0.000676465
Postcentral gyrus,Zona incerta,0,624,2920,3544,0
Operculum,Parahippocamp*,0,926,0,926,0
periaqueductal,Visual extrastriate,0,4576,1534,6110,0
Posterior parietal,Suprachiasmatic,2,5712,6024,11736,0.000170416
periaqueductal,Ventromedial prefrontal,36,4540,728,5268,0.006833713
(Periventricular AND (nuclei OR nucleus)),Temporoparietal,0,1074,1460,2534,0
Supplementary motor,Visual cortex,395,2379,38858,41237,0.009578776
Premotor,Zona incerta,43,4686,2877,7563,0.005685575
(Superior AND collicul*),Wernicke's area,3368,168959,37533,206492,0.016310559
Visual cortex,Wernicke's area,4227,35026,36674,71700,0.058953975
Ambiguus,Primary sensory,13,1203,11593,12796,0.001015942
Angular gyrus,Parahippocamp*,0,641,0,641,0
Cingulum,(Septal AND (nuclei OR nucleus)),8,677,2405,3082,0.002595717
Cingulum,Middle frontal,70,615,20402,21017,0.003330637
(Dorsomedial AND hypothal*),Medial frontal,0,0,5878,5878,0
Entorhinal,(Intralaminar AND (nuclei OR nucleus)),22,5525,754,6279,0.003503743
Entorhinal,Infralimbic,57,5490,439,5929,0.009613763
Caudate,Primary motor,148,18653,14591,33244,0.004451931
Caudate,(Dorsomedial AND hypothal*),0,18801,0,18801,0
Cerebellum,"(""Heschl's gyrus"" OR ""Transverse temporal"")",0,56883,6,56889,0
Fusiform,Superior frontal,255,5200,4700,9900,0.025757576
Globus pallidus,Striatum,1933,6173,42815,48988,0.039458643
Fusiform,"(""Ventral posterior"" AND (nuclei OR nucleus))",25,5430,1453,6883,0.003632137
(Cochlear AND (nuclei OR nucleus)),Posterior parahippocampal gyrus,0,4427,489,4916,0
"(""Gustatory cortex"" OR ""gustatory area"")",Lingual gyrus,2,67,431,498,0.004016064
"(""Gustatory cortex"" OR ""gustatory area"")","(""Nucleus gracilis"" OR ""gracile nucleus"")",0,69,6,75,0
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Substantia nigra,0,6,19389,19395,0
Hypothalam*,"(""Inferior olive"" OR ""Inferior olivary"")",0,3,834,837,0
Hypothalam*,Substantia nigra,0,3,19389,19392,0
Indusium griseum,Subthalam*,0,77,0,77,0
Inferior temporal,Insula*,381,6234,2729,8963,0.042508089
Hypothalam*,(Periventricular AND (nuclei OR nucleus)),0,3,1074,1077,0
Lingual gyrus,Posterior parietal,55,378,5659,6037,0.009110485
(Intralaminar AND (nuclei OR nucleus)),Stria terminalis,29,747,2706,3453,0.008398494
Inferior temporal,Wernicke's area,2686,3929,38215,42144,0.063733865
(Intralaminar AND (nuclei OR nucleus)),Pineal,2,774,14401,15175,0.000131796
Middle frontal,Subgranular,0,20472,632,21104,0
Infralimbic,Pons,17,479,17536,18015,0.000943658
Olfactory bulb,Substantia nigra,421,10848,18968,29816,0.014119936
Nucleus accumbens,Orbitofrontal,150,12657,2846,15503,0.009675547
Paracentral lobule,Orbitofrontal,3,64,2993,3057,0.000981354
Middle frontal,Prefrontal,1946,18526,22155,40681,0.047835599
Pineal,Subthalam*,0,14403,0,14403,0
Olfactory bulb,Zona incerta,53,11216,2867,14083,0.003763403
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",Superior frontal,0,8,4955,4963,0
Piriform cortex,Thalamic reticular,45,2025,3666,5691,0.007907222
Posterior cingulate,Zona incerta,25,2900,2895,5795,0.004314064
Posterior parietal,"(""Ventral anterior"" AND (nuclei OR nucleus))",32,5682,1426,7108,0.00450197
Orbitofrontal,Piriform cortex,59,2937,2011,4948,0.01192401
(Periventricular AND (nuclei OR nucleus)),Stria terminalis,234,840,2501,3341,0.070038911
(Raphe AND (nuclei OR nucleus)),Thalamus,433,3952,32107,36059,0.012008098
Putamen,(Superior AND collicul*),557,10192,171770,181962,0.003061079
Caudate,Supplementary motor,106,18695,2668,21363,0.00496185
Amygdala,(Dorsomedial AND hypothal*),0,23357,0,23357,0
Angular gyrus,Temporoparietal,15,626,1445,2071,0.007242878
Angular gyrus,Postcentral gyrus,26,615,598,1213,0.02143446
Anterior cingulate,(Periventricular AND (nuclei OR nucleus)),17,6756,1057,7813,0.002175861
Amygdala,Hippocamp*,16,23341,168,23509,0.00068059
Claustrum,Pontine nuclei,72,783,7636,8419,0.008552085
Claustrum,Posterior parahippocampal gyrus,10,845,479,1324,0.00755287
(Dorsomedial AND hypothal*),(Inferior AND collicul*),0,0,81333,81333,0
(Dorsomedial AND hypothal*),Precuneus,0,0,1220,1220,0
Basal forbrain,"(Medulla OR ""medulla oblongata"")",1,34524,22564,57088,1.75E-05
Broca's area,"(""Gustatory cortex"" OR ""gustatory area"")",12,52411,57,52468,0.000228711
Fusiform,Entorhinal,37,5418,5510,10928,0.003385798
Calcarine fissure,Superior frontal,4,116,4951,5067,0.000789422
"(""Centromedian"" AND (nuclei OR nucleus))",Posterior parahippocampal gyrus,0,143,489,632,0
"(""Centromedian"" AND (nuclei OR nucleus))",Ventral tegmentum,12,131,4814,4945,0.002426694
"(""Centromedian"" AND (nuclei OR nucleus))",Nucleus accumbens,5,138,12802,12940,0.000386399
Cingulate,Ventral tegmentum,84,11020,4742,15762,0.005329273
Globus pallidus,Supplementary motor,78,8028,2696,10724,0.007273405
Globus pallidus,Pontine nuclei,172,7934,7536,15470,0.011118293
Globus pallidus,Posterior parietal,28,8078,5686,13764,0.002034292
Globus pallidus,Posterior cingulate,38,8068,2887,10955,0.003468736
(Cochlear AND (nuclei OR nucleus)),Perirhinal,2,4425,1198,5623,0.000355682
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Subthalam*,0,6,0,6,0
"(""Gustatory cortex"" OR ""gustatory area"")",Primary auditory,3,66,5383,5449,0.00055056
Hypothalam*,"(""Red nucleus"")",0,3,4498,4501,0
Inferior frontal,"(""Inferior olive"" OR ""Inferior olivary"")",22,5100,812,5912,0.003721245
Inferior frontal,Insula*,494,4628,2616,7244,0.068194368
Lingual gyrus,Striatum,5,428,44743,45171,0.00011069
(Intralaminar AND (nuclei OR nucleus)),(Periventricular AND (nuclei OR nucleus)),23,753,1051,1804,0.012749446
"(""Medial dorsal"" AND nucl*)",Primary auditory,0,1,5386,5387,0
"(""Medial dorsal"" AND nucl*)",Stria terminalis,0,1,2735,2736,0
Middle frontal,Pineal,31,20441,14372,34813,0.000890472
Medial geniculate,Stria terminalis,58,1804,2677,4481,0.012943539
Medial geniculate,Precuneus,1,1861,1219,3080,0.000324675
Medial geniculate,Superior temporal,82,1780,8879,10659,0.007693029
"(""Mammillary body"" OR ""Mammillary bodies)",Striatum,0,2,44741,44743,0
Olfactory bulb,"(""Ventral anterior"" AND (nuclei OR nucleus))",112,11157,1346,12503,0.00895785
Nucleus accumbens,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",12,12795,131,12926,0.000928361
"(Medulla OR ""medulla oblongata"")",Thalamic reticular,270,22295,3441,25736,0.010491141
Parahippocamp*,Suprachiasmatic,0,0,6026,6026,0
"(""Posterior nucleus"" AND hypothalamus)",Ventral tegmentum,133,2607,4693,7300,0.018219178
Nucleus basalis,"(""Ventral anterior"" AND (nuclei OR nucleus))",34,2296,1424,3720,0.009139785
Piriform cortex,Wernicke's area,193,1877,40708,42585,0.004532112
Posterior cingulate,Primary motor,164,2761,14575,17336,0.009460083
Posterior cingulate,(Raphe AND (nuclei OR nucleus)),36,2889,4349,7238,0.00497375
Perirhinal,Visual cortex,303,897,38950,39847,0.007604086
(Periventricular AND (nuclei OR nucleus)),Visual extrastriate,0,1074,1534,2608,0
"(""Red nucleus"")","(""Ventral posteromedial"" AND (nuclei OR nucleus))",4,4494,139,4633,0.000863371
(Septal AND (nuclei OR nucleus)),Substantia nigra,198,2215,19191,21406,0.009249743
Primary motor,"(""Ventral posterior"" AND (nuclei OR nucleus))",53,14686,1425,16111,0.003289678
(Septal AND (nuclei OR nucleus)),"(""Ventral posterolateral"" AND (nuclei OR nucleus))",9,2404,134,2538,0.003546099
Putamen,Superior frontal,203,10546,4752,15298,0.013269708
Superior frontal,Zona incerta,26,4929,2894,7823,0.003323533
Temporoparietal,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",0,1460,143,1603,0
Ambiguus,Middle frontal,1,1215,20471,21686,4.61E-05
Ambiguus,Nucleus accumbens,33,1183,12774,13957,0.002364405
Ambiguus,Interstitial nucleus,31,1185,2008,3193,0.009708738
Amygdala,"(""Centromedian"" AND (nuclei OR nucleus))",14,23343,129,23472,0.000596455
Angular gyrus,Insula*,44,597,3066,3663,0.012012012
Anterior cingulate,Infralimbic,123,6650,373,7023,0.017513883
Claustrum,Dentate gyrus,73,782,11884,12666,0.005763461
Cingulum,(Raphe AND (nuclei OR nucleus)),12,673,4373,5046,0.002378121
Cingulum,"(""Superior olive"" OR ""superior olivary"")",0,685,514,1199,0
Dorsolateral prefrontal,(Periventricular AND (nuclei OR nucleus)),1,3611,1073,4684,0.000213493
Broca's area,Temporoparietal,190,52233,1270,53503,0.003551203
Cerebellum,Visual extrastriate,32,56851,1502,58353,0.000548387
Cerebellum,Perirhinal,26,56857,1174,58031,0.000448036
Fusiform,Subiculum,12,5443,1868,7311,0.001641362
Hippocamp*,(Intralaminar AND (nuclei OR nucleus)),1,183,775,958,0.001043841
Hippocamp*,Visual extrastriate,0,184,1534,1718,0
Hippocamp*,Superior temporal,0,184,8961,9145,0
Inferior parietal lobule,(Superior AND collicul*),466,450,171861,172311,0.002704412
Interstitial nucleus,Postcentral gyrus,0,2039,624,2663,0
Interstitial nucleus,"(Medulla OR ""medulla oblongata"")",160,1879,22405,24284,0.0065887
Inferior parietal lobule,"(""Straight gyrus"" OR ""gyrus rectus"")",0,916,2,918,0
"(""Inferior olive"" OR ""Inferior olivary"")",Putamen,14,820,10735,11555,0.001211597
Lingual gyrus,Prefrontal,76,357,24025,24382,0.003117054
Lateral geniculate,Subthalam*,0,5835,0,5835,0
Medial geniculate,"(""Red nucleus"")",29,1833,4469,6302,0.004601714
"(""Locus coeruleus"" OR ""locus ceruleus"")","(""Ventral posterolateral"" AND (nuclei OR nucleus))",6,3302,137,3439,0.001744693
Nucleus accumbens,Olfactory bulb,435,12372,10834,23206,0.018745152
"(""Mammillary body"" OR ""Mammillary bodies)",Primary motor,0,0,14737,14737,0
Nucleus accumbens,Posterior parietal,34,12773,5680,18453,0.001842519
"(""Mammillary body"" OR ""Mammillary bodies)",Ventral tegmentum,0,1,4803,4804,0
Parahippocamp*,(Superior AND collicul*),0,0,172327,172327,0
"(Medulla OR ""medulla oblongata"")",Subthalam*,0,22565,0,22565,0
Nucleus basalis,"(""Ventral posterior"" AND (nuclei OR nucleus))",29,2301,1449,3750,0.007733333
Nucleus basalis,Ventral tegmentum,35,2295,4791,7086,0.004939317
Posterior parahippocampal gyrus,Substantia nigra,5,484,19384,19868,0.000251661
Posterior parietal,Substantia nigra,37,5677,19352,25029,0.001478285
"(""Red nucleus"")",Thalamus,432,4066,32108,36174,0.011942279
Posterior parietal,Wernicke's area,1253,4461,39648,44109,0.028406901
Precuneus,Subthalam*,0,1220,0,1220,0
Pulvinar,(Septal AND (nuclei OR nucleus)),2,1131,2411,3542,0.000564653
Suprachiasmatic,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",1,6025,142,6167,0.000162153
Premotor,(Superior AND collicul*),776,3953,171551,175504,0.004421552
Superior temporal,"(""Ventral posterior"" AND (nuclei OR nucleus))",30,8931,1448,10379,0.002890452
"(""Superior olive"" OR ""superior olivary"")",Superior temporal,45,469,8916,9385,0.004794885
"(""Centromedian"" AND (nuclei OR nucleus))",Pontine nuclei,15,128,7693,7821,0.001917913
(Dorsomedial AND hypothal*),Parahippocamp*,0,0,0,0,0
Anterior cingulate,Superior temporal,573,6200,8388,14588,0.039278859
Anterior cingulate,Claustrum,86,6687,769,7456,0.011534335
Amygdala,Premotor,91,23266,4638,27904,0.003261181
Anterior cingulate,Visual extrastriate,36,6737,1498,8235,0.004371585
Calcarine fissure,Ventral tegmentum,0,120,4826,4946,0
Calcarine fissure,"(Medulla OR ""medulla oblongata"")",0,120,22565,22685,0
Caudate,Lingual gyrus,33,18768,400,19168,0.001721619
Cerebellum,Inferior parietal lobule,128,56755,788,57543,0.002224423
Cerebellum,Ventromedial prefrontal,28,56855,736,57591,0.000486187
Globus pallidus,"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",0,8106,8,8114,0
(Cochlear AND (nuclei OR nucleus)),"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,4427,6,4433,0
