Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
Ventromedial prefrontal,Visual cortex,118,646,39135,39781,0.00296624
Temporoparietal,Ventromedial prefrontal,7,1453,757,2210,0.003167421
"(""Centromedian"" AND (nuclei OR nucleus))",Piriform cortex,1,142,2069,2211,0.000452284
Ambiguus,Insula*,3,1213,3107,4320,0.000694444
Amygdala,Nucleus basalis,258,23099,2072,25171,0.010249891
Anterior cingulate,Suprachiasmatic,18,6755,6008,12763,0.001410327
Cingulum,Posterior cingulate,48,637,2877,3514,0.013659647
Amygdala,Middle temporal,890,22467,36533,59000,0.015084746
Anterior cingulate,Broca's area,2119,4654,50304,54958,0.038556716
Infralimbic,Ventromedial prefrontal,35,461,729,1190,0.029411765
Entorhinal,Piriform cortex,409,5138,1661,6799,0.060155905
(Dorsomedial AND hypothal*),"(""Mammillary body"" OR ""Mammillary bodies)",0,0,1,1,0
Broca's area,Posterior cingulate,782,51641,2143,53784,0.01453964
Calcarine fissure,Medial frontal,4,116,5874,5990,0.00066778
